acc,bal_acc,n,subject,rung
0.8666666666666667,0.866600790513834,45,32,8-transfer-imag-to-exec
0.5555555555555556,0.5267857142857143,45,33,8-transfer-imag-to-exec
0.8095238095238095,0.8095238095238095,42,34,8-transfer-imag-to-exec
0.7555555555555555,0.7559523809523809,45,35,8-transfer-imag-to-exec
0.6,0.5938735177865613,45,36,8-transfer-imag-to-exec
0.5476190476190477,0.5476190476190477,42,37,8-transfer-imag-to-exec
0.7333333333333333,0.7351778656126482,45,39,8-transfer-imag-to-exec
0.6222222222222222,0.6225296442687747,45,40,8-transfer-imag-to-exec
0.4523809523809524,0.45238095238095233,42,41,8-transfer-imag-to-exec
0.9333333333333333,0.9318181818181819,45,42,8-transfer-imag-to-exec
0.6363636363636364,0.650103519668737,44,43,8-transfer-imag-to-exec
0.775,0.7904040404040404,40,44,8-transfer-imag-to-exec
0.7777777777777778,0.7776679841897234,45,45,8-transfer-imag-to-exec
0.4888888888888889,0.5,45,46,8-transfer-imag-to-exec
0.5111111111111111,0.5118577075098814,45,47,8-transfer-imag-to-exec
0.9210526315789473,0.9210526315789473,38,48,8-transfer-imag-to-exec
0.8409090909090909,0.8409090909090909,44,49,8-transfer-imag-to-exec
0.5555555555555556,0.5238095238095238,45,50,8-transfer-imag-to-exec
0.6428571428571429,0.6428571428571428,42,51,8-transfer-imag-to-exec
0.7555555555555555,0.7539525691699605,45,52,8-transfer-imag-to-exec
0.8666666666666667,0.8646245059288538,45,53,8-transfer-imag-to-exec
0.7333333333333333,0.7381422924901186,45,54,8-transfer-imag-to-exec
0.7555555555555555,0.7608695652173914,45,55,8-transfer-imag-to-exec
0.5333333333333333,0.5237154150197628,45,58,8-transfer-imag-to-exec
0.5227272727272727,0.5331262939958592,44,59,8-transfer-imag-to-exec
0.6190476190476191,0.6190476190476191,42,60,8-transfer-imag-to-exec
0.7209302325581395,0.7130434782608696,43,61,8-transfer-imag-to-exec
0.7333333333333333,0.7381422924901186,45,62,8-transfer-imag-to-exec
0.6428571428571429,0.6428571428571428,42,64,8-transfer-imag-to-exec
0.4888888888888889,0.5,45,65,8-transfer-imag-to-exec
0.5333333333333333,0.5296442687747036,45,67,8-transfer-imag-to-exec
0.6,0.6007905138339921,45,68,8-transfer-imag-to-exec
0.5333333333333333,0.5286561264822134,45,69,8-transfer-imag-to-exec
0.7555555555555555,0.7598814229249011,45,70,8-transfer-imag-to-exec
0.6904761904761905,0.6904761904761905,42,72,8-transfer-imag-to-exec
0.5714285714285714,0.5714285714285714,42,73,8-transfer-imag-to-exec
0.5714285714285714,0.5714285714285714,42,74,8-transfer-imag-to-exec
0.6976744186046512,0.6958874458874459,43,75,8-transfer-imag-to-exec
0.5714285714285714,0.5714285714285714,42,76,8-transfer-imag-to-exec
0.5581395348837209,0.5380434782608696,43,77,8-transfer-imag-to-exec
0.625,0.6152882205513784,40,79,8-transfer-imag-to-exec
0.6444444444444445,0.6413043478260869,45,80,8-transfer-imag-to-exec
0.6666666666666666,0.6709486166007905,45,82,8-transfer-imag-to-exec
0.6046511627906976,0.5815217391304348,43,84,8-transfer-imag-to-exec
