acc,bal_acc,n,subject,rung,model,task
0.7,0.7,40,24,1-within-subject,csp_lda,executed
0.7333333333333333,0.7322134387351779,45,25,1-within-subject,csp_lda,executed
0.5681818181818182,0.572463768115942,44,28,1-within-subject,csp_lda,executed
0.9555555555555556,0.9545454545454546,45,29,1-within-subject,csp_lda,executed
0.6666666666666666,0.6669960474308301,45,30,1-within-subject,csp_lda,executed
0.8,0.8023715415019763,45,31,1-within-subject,csp_lda,executed
0.7777777777777778,0.7727272727272727,45,32,1-within-subject,csp_lda,executed
0.6222222222222222,0.6071428571428572,45,33,1-within-subject,csp_lda,executed
0.6904761904761905,0.6904761904761905,42,34,1-within-subject,csp_lda,executed
0.9555555555555556,0.9553571428571428,45,35,1-within-subject,csp_lda,executed
0.4666666666666667,0.46047430830039526,45,36,1-within-subject,csp_lda,executed
0.5,0.5,42,37,1-within-subject,csp_lda,executed
0.7555555555555555,0.7529644268774703,45,39,1-within-subject,csp_lda,executed
0.37777777777777777,0.37549407114624506,45,40,1-within-subject,csp_lda,executed
0.5476190476190477,0.5476190476190477,42,41,1-within-subject,csp_lda,executed
0.9777777777777777,0.9772727272727273,45,42,1-within-subject,csp_lda,executed
0.5909090909090909,0.6024844720496894,44,43,1-within-subject,csp_lda,executed
0.625,0.6338383838383839,40,44,1-within-subject,csp_lda,executed
0.6888888888888889,0.6887351778656126,45,45,1-within-subject,csp_lda,executed
0.9333333333333333,0.9318181818181819,45,46,1-within-subject,csp_lda,executed
0.6222222222222222,0.6215415019762847,45,47,1-within-subject,csp_lda,executed
0.868421052631579,0.868421052631579,38,48,1-within-subject,csp_lda,executed
0.7954545454545454,0.7954545454545454,44,49,1-within-subject,csp_lda,executed
0.7555555555555555,0.7648809523809523,45,50,1-within-subject,csp_lda,executed
0.5714285714285714,0.5714285714285714,42,51,1-within-subject,csp_lda,executed
0.6888888888888889,0.6877470355731226,45,52,1-within-subject,csp_lda,executed
0.8888888888888888,0.8883399209486166,45,53,1-within-subject,csp_lda,executed
0.9333333333333333,0.9337944664031621,45,54,1-within-subject,csp_lda,executed
0.4444444444444444,0.441699604743083,45,55,1-within-subject,csp_lda,executed
0.5333333333333333,0.5345849802371542,45,58,1-within-subject,csp_lda,executed
0.6136363636363636,0.5973084886128365,44,59,1-within-subject,csp_lda,executed
0.7142857142857143,0.7142857142857142,42,60,1-within-subject,csp_lda,executed
0.6976744186046512,0.7108695652173913,43,61,1-within-subject,csp_lda,executed
0.5777777777777777,0.5800395256916996,45,62,1-within-subject,csp_lda,executed
0.6666666666666666,0.6666666666666667,42,64,1-within-subject,csp_lda,executed
0.6888888888888889,0.6926877470355731,45,65,1-within-subject,csp_lda,executed
0.4888888888888889,0.4871541501976284,45,67,1-within-subject,csp_lda,executed
0.5777777777777777,0.5760869565217391,45,68,1-within-subject,csp_lda,executed
0.6444444444444445,0.642292490118577,45,69,1-within-subject,csp_lda,executed
0.6888888888888889,0.6897233201581028,45,70,1-within-subject,csp_lda,executed
0.7857142857142857,0.7857142857142857,42,72,1-within-subject,csp_lda,executed
0.5476190476190477,0.5476190476190476,42,73,1-within-subject,csp_lda,executed
0.5,0.5,42,74,1-within-subject,csp_lda,executed
0.5116279069767442,0.5119047619047619,43,75,1-within-subject,csp_lda,executed
0.8333333333333334,0.8333333333333333,42,76,1-within-subject,csp_lda,executed
0.5116279069767442,0.5304347826086957,43,77,1-within-subject,csp_lda,executed
0.65,0.6541353383458646,40,79,1-within-subject,csp_lda,executed
0.5111111111111111,0.5069169960474308,45,80,1-within-subject,csp_lda,executed
0.6222222222222222,0.6225296442687747,45,82,1-within-subject,csp_lda,executed
0.4883720930232558,0.47934782608695653,43,84,1-within-subject,csp_lda,executed
0.7555555555555555,0.7529644268774703,45,85,1-within-subject,csp_lda,executed
0.6222222222222222,0.6160714285714286,45,87,1-within-subject,csp_lda,executed
0.6444444444444445,0.6339285714285714,45,90,1-within-subject,csp_lda,executed
0.6666666666666666,0.6620553359683794,45,93,1-within-subject,csp_lda,executed
0.9111111111111111,0.9110671936758893,45,94,1-within-subject,csp_lda,executed
0.4090909090909091,0.40993788819875776,44,95,1-within-subject,csp_lda,executed
0.5853658536585366,0.5869047619047619,41,96,1-within-subject,csp_lda,executed
0.6222222222222222,0.6215415019762847,45,97,1-within-subject,csp_lda,executed
0.5,0.5027777777777778,38,99,1-within-subject,csp_lda,executed
0.5952380952380952,0.5952380952380952,42,102,1-within-subject,csp_lda,executed
0.7555555555555555,0.7529761904761905,45,105,1-within-subject,csp_lda,executed
0.525,0.5200501253132832,40,107,1-within-subject,csp_lda,executed
0.725,0.7205513784461153,40,108,1-within-subject,csp_lda,executed
0.6153846153846154,0.6118421052631579,39,109,1-within-subject,csp_lda,executed
0.6222222222222222,0.6225296442687747,45,1,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6640316205533596,45,2,1-within-subject,ts_logreg,executed
0.6222222222222222,0.6205533596837944,45,3,1-within-subject,ts_logreg,executed
0.5714285714285714,0.5714285714285714,42,4,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6650197628458498,45,5,1-within-subject,ts_logreg,executed
0.8,0.7994071146245059,45,7,1-within-subject,ts_logreg,executed
0.5227272727272727,0.5227272727272727,44,9,1-within-subject,ts_logreg,executed
0.7333333333333333,0.7172619047619048,45,10,1-within-subject,ts_logreg,executed
0.6,0.6027667984189724,45,11,1-within-subject,ts_logreg,executed
