acc,bal_acc,n,subject,perm,rung
0.5476190476190477,0.5476190476190477,42,76,47,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,48,5-permutation-null
0.5,0.5,42,76,49,5-permutation-null
0.6428571428571429,0.6428571428571428,42,76,50,5-permutation-null
0.2857142857142857,0.2857142857142857,42,76,51,5-permutation-null
0.5238095238095238,0.5238095238095238,42,76,52,5-permutation-null
0.42857142857142855,0.42857142857142855,42,76,53,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,54,5-permutation-null
0.35714285714285715,0.3571428571428571,42,76,55,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,56,5-permutation-null
0.5476190476190477,0.5476190476190476,42,76,57,5-permutation-null
0.4523809523809524,0.4523809523809524,42,76,58,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,59,5-permutation-null
0.4523809523809524,0.4523809523809524,42,76,60,5-permutation-null
0.5952380952380952,0.5952380952380952,42,76,61,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,62,5-permutation-null
0.5,0.5,42,76,63,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,64,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,65,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,66,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,67,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,68,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,69,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,70,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,71,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,72,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,73,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,74,5-permutation-null
0.5,0.5,42,76,75,5-permutation-null
0.42857142857142855,0.42857142857142855,42,76,76,5-permutation-null
0.42857142857142855,0.4285714285714286,42,76,77,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,78,5-permutation-null
0.38095238095238093,0.38095238095238093,42,76,79,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,80,5-permutation-null
0.5,0.5,42,76,81,5-permutation-null
0.30952380952380953,0.30952380952380953,42,76,82,5-permutation-null
0.4523809523809524,0.45238095238095233,42,76,83,5-permutation-null
0.5476190476190477,0.5476190476190477,42,76,84,5-permutation-null
0.5,0.5,42,76,85,5-permutation-null
0.5238095238095238,0.5238095238095237,42,76,86,5-permutation-null
0.47619047619047616,0.47619047619047616,42,76,87,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,88,5-permutation-null
0.5714285714285714,0.5714285714285714,42,76,89,5-permutation-null
0.3333333333333333,0.3333333333333333,42,76,90,5-permutation-null
0.5,0.5,42,76,91,5-permutation-null
0.42857142857142855,0.4285714285714286,42,76,92,5-permutation-null
0.3333333333333333,0.3333333333333333,42,76,93,5-permutation-null
0.5,0.5,42,76,94,5-permutation-null
0.5714285714285714,0.5714285714285714,42,76,95,5-permutation-null
0.5,0.5,42,76,96,5-permutation-null
0.5,0.5,42,76,97,5-permutation-null
0.30952380952380953,0.30952380952380953,42,76,98,5-permutation-null
0.40476190476190477,0.40476190476190477,42,76,99,5-permutation-null
0.5555555555555556,0.5533596837944664,45,35,0,5-permutation-null
0.4444444444444444,0.4486166007905138,45,35,1,5-permutation-null
0.4444444444444444,0.4496047430830039,45,35,2,5-permutation-null
0.4666666666666667,0.46640316205533594,45,35,3,5-permutation-null
0.5333333333333333,0.5365612648221344,45,35,4,5-permutation-null
0.4888888888888889,0.49209486166007904,45,35,5,5-permutation-null
0.5111111111111111,0.5108695652173914,45,35,6,5-permutation-null
0.4666666666666667,0.47430830039525695,45,35,7,5-permutation-null
